Column1,Column2
whose,39
normal,39
let's,39
price,39
safe,39
simple,39
fit,38
case,38
clothes,38
machine,38
lies,38
present,38
works,38
dog,38
taking,38
build,38
spirit,38
crazy,38
system,38
round,38
beauty,37
wife,37
they've,37
watching,37
natural,37
early,37
american,37
standing,37
fly,37
king,36
somewhere,36
started,36
practice,36
dangerous,36
trees,36
they'll,36
faith,36
anyway,36
bright,36
questions,35
doubt,35
tears,35
return,35
wonderful,35
begin,35
create,35
train,35
stuff,35
least,35
eye,35
near,35
danger,35
speed,35
man's,35
gold,35
final,34
floor,34
value,34
large,34
low,34
general,34
anymore,34
step,34
follow,34
necessary,34
decide,34
respect,34
glad,34
built,34
complete,34
prison,34
enemy,34
dear,34
drink,34
hero,34
interested,34
letters,34
wear,33
hot,33
becomes,33
somehow,33
turns,33
purpose,33
shadow,33
phone,33
table,33
lips,33
test,33
lead,33
fell,33
therefore,33
type,32
heat,32
touch,32
girls,32
amount,32
heaven,32
written,32
century,32
kiss,32
destiny,32
walking,32
wake,32
summer,32
knowledge,32
playing,31
who's,31
ends,31
dance,31
miles,31
hide,31
stood,31
spent,31
causes,31
clean,31
late,31
cry,31
moments,31
action,31
swear,31
bear,31
island,31
personal,31
neither,31
imagination,31
broken,31
share,31
decision,30
allowed,30
band,30
peace,30
hit,30
women,30
greatest,30
flame,30
worry,30
guys,30
prove,30
older,30
catch,30
process,30
breath,30
smart,30
states,30
search,30
watched,30
son,30
events,30
pure,30
clearly,30
group,30
picture,30
mad,30
happiness,30
check,30
quick,30
walls,29
drive,29
suffering,29
filled,29
running,29
stories,29
using,29
battle,29
childhood,29
activity,29
someday,29
lines,29
figure,29
waste,29
began,29
feels,29
he'll,29
finding,29
empty,29
tomorrow,29
'em,28
ought,28
yeah,28
class,28
moving,28
suffer,28
honest,28
gun,28
gives,28
cover,28
mirror,28
one's,28
funny,28
gift,28
reasons,28
later,28
pieces,28
short,28
ocean,28
advantage,28
listening,28
sorry,28
count,28
based,28
beings,28
tonight,28
houses,28
hair,28
brother,27
escape,27
justice,27
teach,27
higher,27
died,27
magic,27
effects,27
wisdom,27
avoid,27
weight,27
arms,27
save,27
calling,27
lucky,27
fate,27
laugh,27
anybody,27
otherwise,27
whenever,27
she's,27
fingers,27
brings,27
games,27
passed,27
couple,27
field,27
till,27
scared,27
plan,27
secret,27
shouldn't,27
theory,27
crime,27
several,27
chose,27
sat,26
keyboard,26
product,26
discover,26
struggle,26
holding,26
lots,26
welcome,26
understood,26
songs,26
blame,26
faces,26
turning,26
yours,26
send,26
younger,26
hey,26
seven,26
beneath,26
hole,26
destroy,26
building,26
',26
wings,26
role,26
vast,26
meant,26
race,26
bound,26
understanding,26
frightened,26
deserve,25
tv,25
trouble,25
burn,25
unless,25
sand,25
cut,25
onto,25
leaving,25
desire,25
fail,25
example,25
tired,25
growing,25
names,25
consider,25
spring,25
laws,25
giving,25
merely,25
society,25
answers,25
quit,25
married,25
belong,25
sunshine,25
we'd,25
company,25
sight,25
week,25
